# time (s)    L (erg/s)   R_phot (cm)
1.000000000000000048E-04  1.60000007199397E+34  1.00780134649728E+06
2.990000000000000036E-04  1.60000021468401E+34  1.00780134635986E+06
6.950100000000000288E-04  1.60000049859868E+34  1.00780134608641E+06
1.483069900000000144E-03  1.60000106707168E+34  1.00780134554226E+06
3.051309101000000343E-03  1.60000219392430E+34  1.00780134445947E+06
6.172105110990000823E-03  1.60000443991268E+34  1.00780134230495E+06
1.238248917087010278E-02  1.60000891329346E+34  1.00780133801853E+06
2.474115345003150349E-02  1.60001783163353E+34  1.00780132949296E+06
4.933489536556269484E-02  1.60003562461175E+34  1.00780131254604E+06
9.827644177746976129E-02  1.60007076310960E+34  1.00780127890663E+06
1.956701191371648108E-01  1.60013258180860E+34  1.00780121236591E+06
3.894835370829580201E-01  1.60015651497845E+34  1.00780108192537E+06
7.751722387950864546E-01  1.59952999696172E+34  1.00780083221631E+06
1.539377988058623359E+00  1.59587661637331E+34  1.00780038326989E+06
2.380175104620024573E+00  1.59003684549191E+34  1.00779994655038E+06
3.314797879095806810E+00  1.58250104132061E+34  1.00779952612271E+06
4.357938096069955414E+00  1.57373866222769E+34  1.00779912508876E+06
5.525412299609686606E+00  1.56411504988418E+34  1.00779874098613E+06
6.838197240006715916E+00  1.55388750090789E+34  1.00779836239047E+06
8.324921342313043482E+00  1.54326707208854E+34  1.00779796392614E+06
1.002533097935686790E+01  1.53250777772401E+34  1.00779749971280E+06
1.199792835755662779E+01  1.52199120952877E+34  1.00779689080450E+06
1.427743883638803268E+01  1.51266050450844E+34  1.00779602022427E+06
1.686405648138093838E+01  1.50588604633563E+34  1.00779474702950E+06
1.939367105276717496E+01  1.50307874739926E+34  1.00779318411143E+06
2.202236720892887334E+01  1.50379461384526E+34  1.00779123876844E+06
2.482332746391771039E+01  1.50789428380893E+34  1.00778885388596E+06
2.795062266402469220E+01  1.51531714099869E+34  1.00778591229521E+06
3.158224710947649427E+01  1.52610009512584E+34  1.00778227722280E+06
3.610848728909011385E+01  1.54051466036381E+34  1.00777764406709E+06
4.171805180921172962E+01  1.55757511843051E+34  1.00777201046363E+06
4.880484318800505861E+01  1.57613303719148E+34  1.00776530565346E+06
5.856784432281767039E+01  1.59581951610326E+34  1.00775696140544E+06
7.246626397276860132E+01  1.61541351545408E+34  1.00774665845465E+06
8.948171496331774222E+01  1.63233691165399E+34  1.00773590387897E+06
1.086303806364286970E+02  1.64685120991528E+34  1.00772554258657E+06
1.302844217462808274E+02  1.66055137607052E+34  1.00771541106194E+06
1.546727218480225474E+02  1.67440095446346E+34  1.00770546043014E+06
1.820551684823970504E+02  1.68909008352626E+34  1.00769564685695E+06
1.851212883674108411E+02  1.68984484226687E+34  1.00780961868341E+06
1.868568582910857572E+02  1.68573444425847E+34  1.00780886379180E+06
1.903106424391988298E+02  1.67435454203715E+34  1.00780710366757E+06
1.971836728939438217E+02  1.65522361019186E+34  1.00780236795667E+06
2.084365362444391394E+02  1.64088814136742E+34  1.00779339236985E+06
2.243245564872372313E+02  1.64098987149953E+34  1.00778062987713E+06
2.393957081351987313E+02  1.64949289586796E+34  1.00776940580626E+06
2.563045132657543377E+02  1.66169881493080E+34  1.00775803502367E+06
2.746790407369055629E+02  1.67475403899594E+34  1.00774706803757E+06
2.949699096574545365E+02  1.68788433135520E+34  1.00773638770773E+06
3.175161377534047347E+02  1.70109326141901E+34  1.00772593043339E+06
3.426352968795384868E+02  1.71456737689209E+34  1.00771565541086E+06
3.706643521703512079E+02  1.72863147019512E+34  1.00770552150576E+06
3.737939944870354338E+02  1.71954699240212E+34  1.00782276217474E+06
3.754378339132039173E+02  1.71487224432663E+34  1.00782219679566E+06
3.787090743712792005E+02  1.70128623058401E+34  1.00782070501886E+06
3.852188428828490032E+02  1.67881656298944E+34  1.00781627281926E+06
3.960115994529924706E+02  1.66257318041021E+34  1.00780747709749E+06
4.109223744072910449E+02  1.66223974400976E+34  1.00779513952692E+06
4.253556033249686266E+02  1.67134571126129E+34  1.00778397147731E+06
4.415146950239380885E+02  1.68392833218655E+34  1.00777262248125E+06
4.595115643730699162E+02  1.69734896919398E+34  1.00776135957934E+06
4.793219036023102717E+02  1.71045153476466E+34  1.00775040310760E+06
5.013183269830284416E+02  1.72333111012353E+34  1.00773966574152E+06
5.258115696747042875E+02  1.73624020741327E+34  1.00772910296049E+06
5.531193715068799293E+02  1.74954617869621E+34  1.00771867707119E+06
5.561660937231282560E+02  1.74116468318550E+34  1.00783647370825E+06
5.578615798682253626E+02  1.73486841614047E+34  1.00783589750277E+06
5.612355972969687627E+02  1.71823866581104E+34  1.00783422898625E+06
5.679498919801679904E+02  1.69370803444404E+34  1.00782922956169E+06
5.799200237625092313E+02  1.67864849090922E+34  1.00781878059431E+06
5.929017211846937698E+02  1.67998507914298E+34  1.00780762077250E+06
6.064412940117779272E+02  1.68919765315587E+34  1.00779675597528E+06
6.217249744461541923E+02  1.70123497501046E+34  1.00778562617461E+06
6.394000279025384543E+02  1.71436764854125E+34  1.00777414048000E+06
6.588519771407342205E+02  1.72713593540512E+34  1.00776295813831E+06
6.804453191478247618E+02  1.73956868822914E+34  1.00775199536861E+06
7.044891563257230018E+02  1.75200570117950E+34  1.00774119669687E+06
7.312819401298526145E+02  1.76470958782008E+34  1.00773052993351E+06
7.342693334737776922E+02  1.75326508159605E+34  1.00784901451164E+06
7.360071129123455194E+02  1.74725117844254E+34  1.00784843627246E+06
7.394652939950954078E+02  1.72865718472712E+34  1.00784661233087E+06
7.463470743497676949E+02  1.70316817811184E+34  1.00784111894125E+06
7.592179179750233970E+02  1.68994641700945E+34  1.00782929855271E+06
7.716182063387459493E+02  1.69260794684804E+34  1.00781833033805E+06
7.849582668137308019E+02  1.70225404302223E+34  1.00780740080157E+06
8.004195716596499324E+02  1.71464342709664E+34  1.00779594310255E+06
8.180581058970940376E+02  1.72764199295660E+34  1.00778430947594E+06
8.374898720568588715E+02  1.74006290459334E+34  1.00777297805187E+06
8.590817410484430638E+02  1.75232801969424E+34  1.00776183546126E+06
8.831031463325858795E+02  1.76446438341991E+34  1.00775085849254E+06
9.098721862476686510E+02  1.77678629139641E+34  1.00774000779539E+06
9.128572256200553738E+02  2.01147070664022E+34  1.00785999518341E+06
9.145837779275753974E+02  1.99447310621543E+34  1.00785949599121E+06
9.180196170195401919E+02  1.96090888522295E+34  1.00785770736791E+06
9.248569368125500887E+02  1.92809308685754E+34  1.00785210775632E+06
9.368199635326801626E+02  1.92153822953233E+34  1.00784083123666E+06
9.486971867358211057E+02  1.93311301153316E+34  1.00783001070073E+06
9.616214287330881234E+02  1.94988367107350E+34  1.00781909536734E+06
9.768060902523749292E+02  1.96751204210688E+34  1.00780750038376E+06
9.941626437164618437E+02  1.98390263858675E+34  1.00779570097569E+06
1.013281978242141804E+03  1.99871912538864E+34  1.00778418111444E+06
1.034495198091396105E+03  2.01223079415556E+34  1.00777286715048E+06
1.058096822566408264E+03  2.02512223271633E+34  1.00776170830638E+06
1.084383135790250435E+03  2.03779432660954E+34  1.00775068044347E+06
1.113698639778489223E+03  2.05056796614292E+34  1.00773974950383E+06
1.116970076525704826E+03  2.28119509038587E+34  1.00786636014710E+06
1.118486577628098075E+03  2.24969337439945E+34  1.00786629883058E+06
1.121504414821860564E+03  2.19647045505235E+34  1.00786540229088E+06
1.127406061731695445E+03  2.14381097572125E+34  1.00786141166126E+06
1.137509760055551169E+03  2.12871748785126E+34  1.00785246567448E+06
1.149436079081131311E+03  2.14572567757063E+34  1.00784167315133E+06
1.162174748641690485E+03  2.17197082040659E+34  1.00783078602688E+06
1.176886418814385252E+03  2.19848088698460E+34  1.00781929323327E+06
1.193704882368342396E+03  2.22213393856005E+34  1.00780749970722E+06
1.211150053540325189E+03  2.24140475289414E+34  1.00779656489870E+06
1.230493230827603838E+03  2.25814126536552E+34  1.00778571680363E+06
1.253313026508836401E+03  2.27392182209984E+34  1.00777432138186E+06
1.278569720054301115E+03  2.28841193600184E+34  1.00776312723642E+06
1.281386920864461217E+03  2.50476270128891E+34  1.00788252030519E+06
1.283017133278983010E+03  2.48231920279074E+34  1.00788194420695E+06
1.286261255983881256E+03  2.43523159989000E+34  1.00787996253075E+06
1.292717060166628698E+03  2.39316709294845E+34  1.00787404195419E+06
1.302394043836073251E+03  2.39107205271790E+34  1.00786412212796E+06
1.312663539519712458E+03  2.41098716462127E+34  1.00785393212979E+06
1.324352529737408076E+03  2.43674008500618E+34  1.00784317976747E+06
1.338320636868942756E+03  2.46249667329452E+34  1.00783154984788E+06
1.353414132816012852E+03  2.48433871435262E+34  1.00782030543420E+06
1.369449322427404240E+03  2.50231313647962E+34  1.00780961030145E+06
