# time luminosity u_luminosity radius u_radius
-2.016904261437593959e+01 2.875898188161543249e+35 4.939367014488602720e+33 1.008275896403354709e+06 4.252561703863697318e+01
-1.891883716467418708e+01 2.912126291615400465e+35 4.833455158955931412e+33 1.008275923827556428e+06 4.227345198536482229e+01
-1.643092831977992319e+01 2.993285987434317352e+35 5.104794084039040818e+33 1.008276453162503662e+06 4.169889394604196298e+01
-1.593583445964031853e+01 3.011421438948352096e+35 5.238883315899581984e+33 1.008276733667667722e+06 4.158635826543901715e+01
-1.495059767797647510e+01 3.051628375599592225e+35 5.493016070493147003e+33 1.008277681870009284e+06 4.138596627496333724e+01
-1.298997648245131131e+01 3.141247175290094298e+35 6.165756716495346382e+33 1.008280921956073260e+06 4.109367018190082632e+01
-1.277233773341868073e+01 3.152682646332215793e+35 6.268331573594749013e+33 1.008281440682853805e+06 4.112211153886947557e+01
-1.233923662285087630e+01 3.175884670184914471e+35 6.486983177879021214e+33 1.008282618239150033e+06 4.115344173005130557e+01
-1.147736541283666156e+01 3.229297070888527194e+35 6.956932863001930970e+33 1.008286150405706721e+06 4.153155655149056713e+01
-1.134927885376964696e+01 3.238313483220701798e+35 7.080412058723091454e+33 1.008286815022436669e+06 4.158977545566216349e+01
-1.109438660123851150e+01 3.256525411988905399e+35 7.364435895695604610e+33 1.008288324515235960e+06 4.178382656632015113e+01
-1.058715101869893260e+01 3.295177797150671424e+35 7.885059528056995893e+33 1.008291807064955938e+06 4.226958992822131478e+01
-9.841836034727748483e+00 3.365444364884198220e+35 8.661388086027962854e+33 1.008299909980459255e+06 4.388064149488170074e+01
-9.768063625291688368e+00 3.374175440795775552e+35 8.628178457853035090e+33 1.008301002265553339e+06 4.419214761260592184e+01
-9.621256530532264151e+00 3.392252037228146961e+35 8.626410035701031531e+33 1.008303455970488722e+06 4.488361623861396055e+01
-9.335110534098930657e+00 3.432275299245311532e+35 9.039887096408668910e+33 1.008310403378263349e+06 4.830765628610713947e+01
-9.022589300220715813e+00 7.463031940630615986e+35 1.383019508250665095e+36 1.008332057935814839e+06 7.935959624503075815e+01
-8.673917154999799095e+00 3.197176348078171003e+36 2.757277094068897535e+36 1.008429020299754338e+06 1.431007051539276631e+02
-8.534346729298704304e+00 3.811897534047763746e+36 3.494480849013754285e+36 1.008480008809846127e+06 1.614114781996456998e+02
