# time luminosity radius
-2.062002174249937525e+01 5.654714485540080106e+35 1.008292271755579975e+06
-1.650686422610851878e+01 6.188826767218459661e+35 1.008286039158539963e+06
-1.604186434559051122e+01 6.257031717199800037e+35 1.008285582032309962e+06
-1.511651458335836651e+01 6.405881504375949660e+35 1.008285201822789968e+06
-1.327506855651699880e+01 6.826960323262449701e+35 1.008287431465559988e+06
-1.302811391060822643e+01 6.888483659549640009e+35 1.008287845172979985e+06
-1.253667416525058798e+01 7.020651523599429347e+35 1.008288982207020046e+06
-1.155870907198732311e+01 7.354566468947939877e+35 1.008292858167800005e+06
-1.017936501402073191e+01 8.139058038075480293e+35 1.008305937521300046e+06
-9.530304506160973688e+00 8.648985972100669580e+35 1.008316196475769975e+06
-9.474357714054349344e+00 8.695298601219339721e+35 1.008317148016270017e+06
-9.363023597759820404e+00 8.791312232793159660e+35 1.008319213861769997e+06
-9.141468706335217576e+00 9.004911495949810679e+35 1.008324105820239987e+06
-8.856633612689620350e+00 9.338583126855200291e+35 1.008332873112950008e+06
-8.655975597795986687e+00 9.615254249129399667e+35 1.008340985999139957e+06
-8.525357249329317710e+00 9.819624585741569907e+35 1.008347455946129980e+06
-8.517040159114912967e+00 9.833673153955770604e+35 1.008347869823590037e+06
-8.503738714662176790e+00 9.855260932732050567e+35 1.008348563553130021e+06
-8.477268840200849809e+00 9.898643637611159317e+35 1.008350015621530009e+06
-8.424593790021390305e+00 9.989687215569049941e+35 1.008353263908809982e+06
-8.417541956659988500e+00 1.000166339164620017e+36 1.008353705206139944e+06
-8.403508808269180008e+00 1.002825043902920049e+36 1.008354626062109950e+06
-8.375582842971198261e+00 1.007855052029500033e+36 1.008356608998119948e+06
-8.365274423362279776e+00 1.009986991251299981e+36 1.008357353113639983e+06
-8.354803759499191074e+00 1.012184365874079952e+36 1.008358127513329964e+06
-8.340010867303135456e+00 1.014743377715329933e+36 1.008359261266330024e+06
-8.311740665076285950e+00 1.020359329189879968e+36 1.008361631387869944e+06
-8.266607512046903139e+00 1.029903331828090016e+36 1.008366181674750056e+06
-8.230082729685818776e+00 1.038369414491910025e+36 1.008370493800490047e+06
-8.199307858007159666e+00 1.045824201642070011e+36 1.008374808390000020e+06
-8.170354729048995068e+00 1.052971230238019961e+36 1.008379685524699977e+06
-8.144387634336453630e+00 1.060145655676510066e+36 1.008385140321090003e+06
-8.125443976128735812e+00 1.065571294003469984e+36 1.008389706628759974e+06
-8.108538191094339709e+00 1.070496747931079963e+36 1.008394386191940052e+06
-8.092659798916429281e+00 1.075572426446540063e+36 1.008399461320569972e+06
-8.080136411150306230e+00 1.080304683979299984e+36 1.008403915158319985e+06
-8.067205916997409076e+00 1.085324057853420015e+36 1.008409362776760012e+06
-8.052413266022995231e+00 1.092153508648899985e+36 1.008416658379610046e+06
-8.039361895307592931e+00 1.108490455178930013e+36 1.008424011837559985e+06
-8.027454640769065008e+00 1.104160654700630047e+36 1.008431952319080010e+06
-8.017526384955999674e+00 1.261154270146729949e+36 1.008438763691899949e+06
-8.008809321514490875e+00 1.675340114275089929e+36 1.008444867162780021e+06
-8.000723924995327252e+00 2.882638479748729960e+36 1.008450538538379944e+06
-7.993035393557875068e+00 5.004529526577580039e+36 1.008455999722809996e+06
-7.985393112112433300e+00 5.051072477546390006e+36 1.008461338211060036e+06
-7.977782140946146683e+00 5.307181190291319948e+36 1.008466559396500001e+06
-7.969890283309723600e+00 6.974106864314350289e+36 1.008471974104559980e+06
-7.961555964227954973e+00 8.798431089816140281e+36 1.008477731387229986e+06
-7.952550031412101816e+00 8.744399795857729684e+36 1.008483811321160058e+06
-7.942280666553415358e+00 9.063770946180139525e+36 1.008490596641320037e+06
-7.930941345384781016e+00 1.145241004922809956e+37 1.008498332221799996e+06
-7.919378763032000279e+00 1.147617960826960092e+37 1.008506029586039949e+06
-7.904765446717647137e+00 1.154373695535399968e+37 1.008515486359969946e+06
-7.887792083562089829e+00 1.152532900536449962e+37 1.008526112479300005e+06
-7.867614288987169857e+00 1.157221866570280042e+37 1.008538432523209951e+06
-7.843943858282727888e+00 1.218701893001179912e+37 1.008553138268440031e+06
-7.824569610553226084e+00 1.156239011655629999e+37 1.008564688028880046e+06
-7.795391822079182020e+00 1.101970915282900114e+37 1.008581540162730031e+06
-7.763605366928459262e+00 1.045158227455190014e+37 1.008599180503370008e+06
-7.730993081557244295e+00 9.893609462980460380e+36 1.008616526501170010e+06
-7.697977321355210734e+00 9.413181236025750271e+36 1.008633450043149991e+06
-7.667881322178800474e+00 8.993964529236559638e+36 1.008648393136749975e+06
-7.641307684603816597e+00 8.668501551761250576e+36 1.008661266582119977e+06
-7.617189535962097580e+00 8.494196567446570567e+36 1.008672778767340002e+06
-7.594721528032096103e+00 8.554474258527840117e+36 1.008683414921959979e+06
-7.573337561043445021e+00 8.638605585481869893e+36 1.008693500489520025e+06
-7.552670083920020261e+00 8.888361031064689832e+36 1.008703254135709954e+06
-7.532348782326153014e+00 9.066359861739400100e+36 1.008712839432460023e+06
-7.512113468903407920e+00 9.289034298192529963e+36 1.008722449633289943e+06
-7.491789361596602248e+00 9.646089207819799533e+36 1.008732144325040048e+06
-7.471032015546370531e+00 9.983220289408649998e+36 1.008742109688300057e+06
-7.449552870135448757e+00 1.037198930133390030e+37 1.008752459224820021e+06
-7.426841562701156363e+00 1.076720674096700004e+37 1.008763487854399951e+06
-7.402394926188208046e+00 1.118809788681459980e+37 1.008775424705759971e+06
-7.375921369424759177e+00 1.145108372113550092e+37 1.008788425158350030e+06
-7.349339684322330868e+00 1.183141971722579990e+37 1.008801634574629948e+06
-7.322461524981918046e+00 1.225149070578090011e+37 1.008815065190110006e+06
-7.295984588297869777e+00 1.269368672459080055e+37 1.008828385435550008e+06
-7.268888413515014690e+00 1.317367128042060084e+37 1.008842060086179990e+06
-7.241836715504177846e+00 1.365449967826880068e+37 1.008855778520719963e+06
-7.214362052920478163e+00 1.415875712465799900e+37 1.008869763124049990e+06
-7.186364823410258396e+00 1.466830348479999970e+37 1.008884063797299983e+06
-7.157712072857975727e+00 1.519186524948959927e+37 1.008898704375489964e+06
-7.127742699491136591e+00 1.574738000684480096e+37 1.008914026009159978e+06
-7.097596858424367383e+00 1.632592560849090039e+37 1.008929428302709945e+06
-7.061369287952402374e+00 1.704751771907360112e+37 1.008947948830920039e+06
-7.023473579936762690e+00 1.783069242776789988e+37 1.008967270192279946e+06
-6.983161989175641793e+00 1.869067643759870021e+37 1.008987762623909977e+06
-6.938828158488831832e+00 1.967051818563419890e+37 1.009010223597940058e+06
-6.891350978092305013e+00 2.076215853246520061e+37 1.009034150189119973e+06
-6.838574729201354785e+00 2.202209848477419957e+37 1.009060577207059949e+06
-6.780245063609982026e+00 2.346281462625130010e+37 1.009089512121620006e+06
-6.717508372914380743e+00 2.505303174420680183e+37 1.009120221217449987e+06
-6.649632899938296760e+00 2.679770405664319781e+37 1.009152847471170011e+06
-6.574563607378877350e+00 2.872561351899449874e+37 1.009188017392670037e+06
-6.492478699457933544e+00 3.080343713536560165e+37 1.009225142354269978e+06
-6.401510905629038461e+00 3.303481356514960180e+37 1.009264392036849982e+06
-6.301295697956447839e+00 3.538324345071759906e+37 1.009305007276069955e+06
-6.194045288912093383e+00 3.775032118188510148e+37 1.009345226288410020e+06
-6.076649922579235863e+00 4.014529694559980012e+37 1.009385366190909990e+06
-5.963976627141164499e+00 4.226850756550869820e+37 1.009420341689769994e+06
-5.849054574324327405e+00 4.423791339815819894e+37 1.009452563007749966e+06
-5.707680583520414075e+00 4.637328277742600072e+37 1.009487545989589998e+06
-5.707667349546682090e+00 4.590347098430830196e+37 1.010053845981569961e+06
-5.707662953447652399e+00 4.590511591554510035e+37 1.010064871299389983e+06
-5.707654205210928922e+00 4.589942514858109837e+37 1.010060974299579975e+06
-5.707639008904152433e+00 4.590301275731890072e+37 1.010060711272530025e+06
-5.707621331694099354e+00 4.590330140770220463e+37 1.010061815198839991e+06
-5.707600474683204084e+00 4.590350696462630351e+37 1.010063028410649975e+06
-5.707575763144632219e+00 4.590389956304880166e+37 1.010064387171639944e+06
-5.707546302272021421e+00 4.590437061542599829e+37 1.010065931931840023e+06
-5.707511015147247235e+00 4.590493409592199924e+37 1.010067665950029972e+06
-5.707468094255091273e+00 4.590562103261170195e+37 1.010069622499919962e+06
-5.707415430910259602e+00 4.590646625710100278e+37 1.010071807799080038e+06
-5.707349733249429846e+00 4.590752400762240135e+37 1.010074227382660029e+06
-5.707265927028856822e+00 4.590887808310060073e+37 1.010076880248520058e+06
-5.707176927919135778e+00 4.591033048604819783e+37 1.010079223436509958e+06
-5.707083371904445812e+00 4.591186398188460244e+37 1.010081296450869995e+06
-5.706986272823996842e+00 4.591346212359319597e+37 1.010083055442710058e+06
-5.706882001824851613e+00 4.591518259351439549e+37 1.010084596719169989e+06
-5.706769692254965776e+00 4.591704194550170274e+37 1.010085917948369985e+06
-5.706645096812280826e+00 4.591910983248370243e+37 1.010087060915170005e+06
-5.706503372881343239e+00 4.592146808021019647e+37 1.010088049981190008e+06
-5.706337154038919834e+00 4.592424059708499868e+37 1.010088906187610002e+06
-5.706134505406225799e+00 4.592762814117320113e+37 1.010089612540649949e+06
-5.705858861505475943e+00 4.593223757888730202e+37 1.010090222903109971e+06
-5.705446336234672344e+00 4.593914219136299614e+37 1.010090721063519944e+06
-5.704648340244602878e+00 4.595245576045680183e+37 1.010091195639390033e+06
-5.703060328223727993e+00 4.597887303101400257e+37 1.010091921405180008e+06
-5.699900184301441186e+00 4.603073089064399939e+37 1.010093861166010029e+06
-5.693611497896199580e+00 4.612849549425469982e+37 1.010099346460959991e+06
-5.681097011949532316e+00 4.628922509464159765e+37 1.010113597933419980e+06
-5.656193184913718142e+00 4.649654936587839685e+37 1.010145380934010027e+06
-5.606634569114248734e+00 4.677484589037930402e+37 1.010204117904520012e+06
-5.508452646341538639e+00 4.742862075759239819e+37 1.010294738781469990e+06
-5.393842411465811892e+00 4.839970123663629765e+37 1.010376252021490014e+06
-5.290101069038428250e+00 4.937905072380849745e+37 1.010436758571450016e+06
-5.193873032289047842e+00 5.030999062720439884e+37 1.010484858107110020e+06
-5.095743295465581468e+00 5.125026539502050341e+37 1.010527768061239971e+06
-4.957498031670183991e+00 5.251399881408850121e+37 1.010579543000190053e+06
-4.835954411648344831e+00 5.365570131940169851e+37 1.010620030311999959e+06
-4.727703953845775686e+00 5.465852716592559889e+37 1.010653104227449978e+06
