# time luminosity radius
-2.479481040347309317e+01 4.303303768486269865e+35 1.008138581204980030e+06
-1.997143216952099465e+01 4.614044248501600178e+35 1.008143476042740047e+06
-1.669983697640418541e+01 4.914165138512309710e+35 1.008149003489420051e+06
-1.448594904788478743e+01 5.184290425104359975e+35 1.008154632758400054e+06
-1.298083312787639443e+01 5.439728386169450091e+35 1.008159989664299996e+06
-1.194583640240307432e+01 5.652714318498080019e+35 1.008164885898499982e+06
-1.121729920124926139e+01 5.833012607496069945e+35 1.008169260232759989e+06
-1.068434590638207737e+01 5.986753351673230094e+35 1.008173178818530054e+06
-1.027166074243723415e+01 6.122649046844050355e+35 1.008176797814260004e+06
-9.910522551130270585e+00 6.257902304002790251e+35 1.008180537898269948e+06
-9.648079871869413182e+00 6.366843740023290355e+35 1.008183636916209944e+06
-9.523981701015145518e+00 6.421293567397360186e+35 1.008185207097330014e+06
-9.388194557992392220e+00 6.483949293201670019e+35 1.008187055011629942e+06
-9.237469908039201982e+00 6.558408037044879687e+35 1.008189287174300058e+06
-9.070379066557507031e+00 6.647914990004289897e+35 1.008192041361400043e+06
-8.883668195092468522e+00 6.758163705650170156e+35 1.008195554368120036e+06
-8.860079245743690990e+00 6.772403903148870538e+35 1.008196008642970002e+06
-8.813137236531474628e+00 6.801540942146329619e+35 1.008196950232950039e+06
-8.719722638212260790e+00 6.862034218509730084e+35 1.008198984766099951e+06
-8.701133133145049214e+00 6.874053089022530335e+35 1.008199399522340042e+06
-8.664140018066973425e+00 6.899101977329089689e+35 1.008200259985549957e+06
-8.615396110399160534e+00 6.933209533704609503e+35 1.008201459212810034e+06
-8.591251690639182925e+00 6.950328920406850182e+35 1.008202067927130032e+06
-8.574383524217410013e+00 6.962084209032620575e+35 1.008202499755340046e+06
-8.559860801658942364e+00 6.972027480466040004e+35 1.008202874779650010e+06
-8.545568223693408072e+00 6.982391645417140057e+35 1.008203246846809983e+06
-8.530316227610455826e+00 6.994720473671370025e+35 1.008203647016079980e+06
-8.510761100245872512e+00 7.007983888735749875e+35 1.008204165701539954e+06
-8.473752350866561756e+00 7.036466943233409515e+35 1.008205175300879986e+06
-8.400104939602897502e+00 7.094691766457670304e+35 1.008207345358100021e+06
-8.302770298847462982e+00 7.178005000623580696e+35 1.008210564770200057e+06
-8.226468928187387064e+00 7.247359575643790161e+35 1.008213334840380005e+06
-8.155841113577480428e+00 7.315919218416539365e+35 1.008216202982189949e+06
-8.098090041123214178e+00 7.374111187691719475e+35 1.008218781511059962e+06
-8.045721152055193670e+00 7.430075814214620156e+35 1.008221396142879967e+06
-8.006696120544802397e+00 7.473921819012220368e+35 1.008223514531390043e+06
-7.975987885525682941e+00 7.507280684951769623e+35 1.008225321621909970e+06
-7.949455348920309916e+00 7.540092987503140532e+35 1.008227000411930028e+06
-7.924947826817515306e+00 7.568154539832679300e+35 1.008228675340709975e+06
-7.902070709707913920e+00 7.595650970540729902e+35 1.008230368704780005e+06
-7.880544796760659665e+00 7.622609481215829642e+35 1.008232106814139988e+06
-7.860364410225884058e+00 7.651830246763820066e+35 1.008233889057360007e+06
-7.841158590221311897e+00 7.672887818259570635e+35 1.008235765897620004e+06
-7.829025637664017268e+00 7.689841000295069781e+35 1.008237104967260035e+06
-7.809520809969399124e+00 7.721009204905179434e+35 1.008239539594630012e+06
-7.792162345780525357e+00 7.738600919646570622e+35 1.008241975614730036e+06
-7.776016600197181106e+00 7.767835584032419907e+35 1.008244460636970005e+06
-7.759553575539030135e+00 8.816704679569650212e+35 1.008247319234100054e+06
-7.744867326488019899e+00 7.820394846142749497e+35 1.008250118337759981e+06
-7.732350789548945613e+00 7.834459460357789427e+35 1.008252642619549995e+06
-7.720699208424775861e+00 7.849691191599120428e+35 1.008255052040460054e+06
-7.709342725342139602e+00 7.864482647857349988e+35 1.008257439972450025e+06
-7.698035231805988587e+00 7.885180542384300152e+35 1.008259963392450009e+06
-7.685741713561583310e+00 7.896568602747200667e+35 1.008263010814649984e+06
-7.672166915843263268e+00 7.919385866251100489e+35 1.008266318982769968e+06
-7.658143605323857628e+00 7.944100810097660487e+35 1.008269953095959965e+06
-7.646425386337796226e+00 7.972362670062409886e+35 1.008272953094730037e+06
-7.629936735786031932e+00 8.027886567064779387e+35 1.008277160464460030e+06
-7.612158696414553560e+00 8.176462294927530270e+35 1.008281728563640034e+06
-7.592536635143915191e+00 8.525675465173290170e+35 1.008286779113129945e+06
-7.571027377314749174e+00 9.900156681470309795e+35 1.008292455098959967e+06
