# model,burst,bstart,btime,fluence,peakLum,persLum,tau,tdel,conv,t10,t25,t90,fitAlpha,fitDecay,alpha
'xrba003',0,1914328361357631.5,405.25,2.0429241299965897e+40,1.9913738028422e+38,1.61106539253581e+35,102.58868159663515,0,4.2014209427815095,-9.0,-7.75,-3.5,0.51194421261276424,45.390956755370873,0.0
'xrba003',1,1914328361370549.0,309.75,6.3005999670014616e+39,8.8812187068352994e+37,2.7303544649940801e+35,70.942965993533051,12917.25,-0.055049582580904602,-7.5,-6.5,-2.25,0.65345149671037328,43.35233691096655,42.536831773949736
'xrba003',2,1914328361381858.0,260.25,6.1546309257886037e+39,1.12931974040669e+38,2.6983362703823299e+35,54.49856852384606,11308.5,0.30096150731889237,-7.5,-6.5,-2.0,0.74985966672428583,31.765392170706164,38.116493726437874
'xrba003',3,1914328361392092.0,243.25,5.1698533815349501e+39,9.6449224688351304e+37,2.9289961650265498e+35,53.601813785853494,10233.5,1.9972147647775758,-7.5,-6.25,-2.0,0.74464400761528293,32.474632288010973,41.109154368780068
'xrba003',4,1914328361402748.8,259.75,6.0277243349896342e+39,1.1548100382457899e+38,2.6984843540608099e+35,52.196674217917497,10656.75,0.78616806523872362,-7.25,-6.5,-2.0,0.75146613457786438,28.236018468100692,36.67597442715401
'xrba003',5,1914328361414292.0,266.5,5.7993731245325201e+39,9.7065397048127107e+37,2.7776853411319101e+35,59.747070541081357,11544.25,1.3553252492126098,-7.25,-6.25,-2.0,0.69245140919280401,34.339338591065726,41.310524949064735
'xrba003',6,1914328361425393.8,269.75,5.8051055206469431e+39,1.01003599843947e+38,2.72169306626249e+35,57.474243785528152,11103.5,1.4253446865838075,-7.5,-6.25,-2.0,0.72078007804285793,33.16603813638072,39.683377602144205
'xrba003',7,1914328361435844.2,251.25,5.8417564510626054e+39,1.07725881160804e+38,2.71116026858883e+35,54.227975562739005,10451.75,1.9938232012560919,-7.25,-6.25,-2.0,0.72755216983810578,30.691626060339154,37.117812082747939
'xrba003',8,1914328361448318.2,284.75,6.2058093816208831e+39,9.6093855483483898e+37,2.6202301212809202e+35,64.580709665536361,12470.0,3.0801604393875373,-7.5,-6.5,-2.25,0.67635985390646125,36.514239107940831,41.669129852276662
'xrba003',9,1914328361459471.2,267.75,6.1996946122732121e+39,1.1122056577069e+38,2.7275059723833501e+35,55.742340180641484,11153.75,2.0419489852649799,-7.25,-6.5,-2.0,0.73216682644495101,30.092929812272239,37.326874579568226
'xrba003',10,1914328361470890.0,267.75,5.910589512420068e+39,1.01987011288081e+38,2.7380484065459501e+35,57.954335927391035,11419.75,2.6689534684669631,-7.25,-6.25,-2.0,0.70135394186907773,33.016751004884497,40.088414798754755
'xrba003',11,1914328361482292.0,260.5,6.037732285561751e+39,1.06011839787925e+38,2.7615978906684699e+35,56.953377072222672,11400.5,2.3930850524634559,-7.25,-6.25,-2.0,0.70760799224002557,33.741795419498544,39.182525157828486
'xrba003',12,1914328361493568.0,268.75,5.8257943635814744e+39,1.0019339606562001e+38,2.6807349104853401e+35,58.145492540905259,11280.25,-0.56255271973481802,-7.25,-6.25,-2.0,0.70586098400208042,33.864882988764847,40.163974240167647
