# time luminosity radius
-2.300000000000000000e+01 2.721693066262489971e+35 1.008201731647199951e+06
-1.825000000000000000e+01 2.865665914539340078e+35 1.008205176529770019e+06
-1.775000000000000000e+01 2.879412168805510034e+35 1.008205552107020048e+06
-1.700000000000000000e+01 2.908779549304019870e+35 1.008206429571839981e+06
-1.500000000000000000e+01 2.976900013279299946e+35 1.008208927330630017e+06
-1.475000000000000000e+01 2.990986078780019818e+35 1.008209473746199976e+06
-1.400000000000000000e+01 3.020978153323840151e+35 1.008210750820429996e+06
-1.275000000000000000e+01 3.091838017758270026e+35 1.008214536417159950e+06
-1.250000000000000000e+01 3.101382214667759938e+35 1.008215075589500018e+06
-1.200000000000000000e+01 3.121162740410730011e+35 1.008216261402809992e+06
-1.150000000000000000e+01 3.161336919713030153e+35 1.008219020584809943e+06
-1.075000000000000000e+01 3.217038543461069844e+35 1.008223806002099998e+06
-1.000000000000000000e+01 3.279905443902669994e+35 1.008232018629609956e+06
-9.500000000000000000e+00 3.314477027621599993e+35 1.008237073646230041e+06
-9.250000000000000000e+00 3.335815433686310320e+35 1.008240705274339998e+06
-9.000000000000000000e+00 3.376143320145619712e+35 1.008249134239219944e+06
-8.750000000000000000e+00 3.394965937366239646e+35 1.008255740812549950e+06
-8.500000000000000000e+00 3.469125349920789737e+35 1.008315132180919987e+06
-8.250000000000000000e+00 5.667895802161779636e+36 1.008540916891989997e+06
-8.000000000000000000e+00 5.335170382953089973e+36 1.008658873100230005e+06
-7.750000000000000000e+00 7.523382145842929495e+36 1.008772939976259950e+06
-7.500000000000000000e+00 1.038926103120830009e+37 1.008911542921709944e+06
-7.250000000000000000e+00 1.358127563453209926e+37 1.009039608479749993e+06
-7.000000000000000000e+00 1.689471323319860036e+37 1.009148701403809944e+06
-6.750000000000000000e+00 2.060449575369929942e+37 1.009252709846260026e+06
-6.500000000000000000e+00 2.455922440309820074e+37 1.009352061270229984e+06
-6.250000000000000000e+00 2.863528048061180135e+37 1.009447106358499965e+06
-6.000000000000000000e+00 3.278080709204900107e+37 1.009538648554380052e+06
-5.750000000000000000e+00 3.593545956881029853e+37 1.009605673015019973e+06
-5.500000000000000000e+00 4.024006897050379885e+37 1.009694120764989988e+06
-5.250000000000000000e+00 4.357813185597549878e+37 1.009760565686909948e+06
-5.000000000000000000e+00 4.822117722245780161e+37 1.009850209498199983e+06
-4.750000000000000000e+00 5.186561761730000315e+37 1.009918562905660016e+06
-4.500000000000000000e+00 5.564842225145359706e+37 1.009987935590620036e+06
-4.250000000000000000e+00 5.955219132007800112e+37 1.010058126470659976e+06
-4.000000000000000000e+00 6.354103546412370325e+37 1.010128688715239987e+06
-3.750000000000000000e+00 6.756959858211929998e+37 1.010199045323609957e+06
-3.500000000000000000e+00 7.158361700726370201e+37 1.010268246463840012e+06
-3.250000000000000000e+00 7.554963969770619679e+37 1.010335046142869978e+06
-3.000000000000000000e+00 7.938246162987510460e+37 1.010398914042770048e+06
-2.750000000000000000e+00 8.301591763863590066e+37 1.010459159710329957e+06
-2.500000000000000000e+00 8.640107682126630768e+37 1.010515079107280006e+06
-2.250000000000000000e+00 8.950294313558660099e+37 1.010566102344430052e+06
-2.000000000000000000e+00 9.139749986573979252e+37 1.010597121650969959e+06
-1.750000000000000000e+00 9.395153706625830727e+37 1.010638708374159993e+06
-1.500000000000000000e+00 9.600778043687159300e+37 1.010671539413950057e+06
-1.250000000000000000e+00 9.734416030006179562e+37 1.010692406926710042e+06
-1.000000000000000000e+00 9.893915818661280306e+37 1.010717495248900028e+06
-7.500000000000000000e-01 9.970959962379829247e+37 1.010728682412949973e+06
-5.000000000000000000e-01 1.003183202042260030e+38 1.010736968410199974e+06
-2.500000000000000000e-01 1.008743173980730019e+38 1.010743042855089996e+06
0.000000000000000000e+00 1.010035998439469986e+38 1.010742747837019968e+06
2.500000000000000000e-01 1.009391520272109975e+38 1.010738929803770036e+06
5.000000000000000000e-01 1.006814374090729913e+38 1.010731574513909989e+06
7.500000000000000000e-01 1.002309038632500031e+38 1.010720675165429944e+06
1.000000000000000000e+00 9.958738688446320111e+37 1.010706221336349961e+06
1.250000000000000000e+00 9.919394625172939564e+37 1.010697672350110020e+06
1.500000000000000000e+00 9.827079660920449072e+37 1.010678074270269950e+06
1.750000000000000000e+00 9.717052925897540260e+37 1.010655246887339978e+06
2.000000000000000000e+00 9.660675898849909133e+37 1.010643559304669965e+06
2.250000000000000000e+00 9.557947334751739181e+37 1.010622317280589952e+06
2.500000000000000000e+00 9.429251661350919925e+37 1.010595973735879990e+06
2.750000000000000000e+00 9.354274063946749563e+37 1.010580835260419990e+06
3.000000000000000000e+00 9.231909456355989297e+37 1.010556978240030003e+06
3.250000000000000000e+00 9.059330017093019293e+37 1.010523425058949972e+06
3.500000000000000000e+00 8.963444042199630212e+37 1.010504613225250039e+06
3.750000000000000000e+00 8.864439823198299685e+37 1.010485313349350006e+06
4.000000000000000000e+00 8.648135585649389136e+37 1.010443409064759966e+06
4.250000000000000000e+00 8.547860547317379574e+37 1.010423730531480047e+06
4.500000000000000000e+00 8.458116306132350428e+37 1.010406092295150040e+06
4.750000000000000000e+00 8.377243649875809730e+37 1.010390191758209956e+06
5.000000000000000000e+00 8.239059251073269572e+37 1.010362986573119997e+06
5.250000000000000000e+00 8.180477366866909643e+37 1.010351437460909947e+06
5.500000000000000000e+00 8.080627741941290066e+37 1.010331737465249957e+06
5.750000000000000000e+00 7.887551061822349976e+37 1.010294716169420048e+06
6.000000000000000000e+00 7.810338033101080294e+37 1.010279364690550021e+06
6.250000000000000000e+00 7.712783135402980061e+37 1.010260588527519954e+06
6.500000000000000000e+00 7.605937969194309741e+37 1.010239845683560008e+06
7.000000000000000000e+00 7.484749852366819888e+37 1.010216297045290004e+06
7.250000000000000000e+00 7.354761432786349542e+37 1.010190803087249980e+06
7.500000000000000000e+00 7.243619938921339967e+37 1.010168352408729959e+06
8.000000000000000000e+00 7.149105798810400195e+37 1.010148976036809967e+06
8.250000000000000000e+00 7.068060954225210442e+37 1.010132187749970006e+06
8.500000000000000000e+00 6.997846805289419733e+37 1.010117526073549991e+06
8.750000000000000000e+00 6.936500108768840217e+37 1.010104633360409993e+06
9.000000000000000000e+00 6.882550665315870213e+37 1.010093229759830050e+06
9.250000000000000000e+00 6.792502404137140058e+37 1.010074054023090051e+06
9.500000000000000000e+00 6.754858246505560376e+37 1.010065981278729974e+06
9.750000000000000000e+00 6.690419792558180123e+37 1.010052097674129996e+06
1.000000000000000000e+01 6.615284721326479940e+37 1.010036257728550001e+06
1.025000000000000000e+01 6.576968342504760113e+37 1.010027967892540037e+06
1.050000000000000000e+01 6.542845582142220201e+37 1.010020533335070009e+06
1.075000000000000000e+01 6.483390089568510376e+37 1.010007508759610006e+06
1.125000000000000000e+01 6.388205905118119889e+37 1.009987667109910049e+06
1.175000000000000000e+01 6.287708976527070411e+37 1.009965779162900057e+06
1.200000000000000000e+01 6.222719594132169569e+37 1.009951867995189968e+06
1.250000000000000000e+01 6.144294159364220235e+37 1.009935088167699985e+06
1.300000000000000000e+01 6.045884771876880313e+37 1.009913980843610014e+06
1.375000000000000000e+01 5.929542080143030184e+37 1.009888556898899958e+06
1.450000000000000000e+01 5.823981921079389870e+37 1.009864072705319966e+06
1.525000000000000000e+01 5.740517220887650459e+37 1.009843501264619990e+06
1.575000000000000000e+01 5.670012859814159988e+37 1.009825797985709971e+06
1.625000000000000000e+01 5.609368532928430327e+37 1.009810415566390031e+06
1.675000000000000000e+01 5.556243969925290373e+37 1.009796887031910010e+06
1.725000000000000000e+01 5.509322074199170352e+37 1.009784909006759990e+06
1.775000000000000000e+01 5.467551194437109750e+37 1.009774236950839986e+06
1.800000000000000000e+01 5.430099152243369755e+37 1.009764668094019988e+06
1.825000000000000000e+01 5.396289064998909731e+37 1.009756035320159979e+06
1.875000000000000000e+01 5.365570439803630469e+37 1.009748200068230042e+06
1.900000000000000000e+01 5.337547632995000166e+37 1.009741057745110011e+06
1.925000000000000000e+01 5.311869936110299703e+37 1.009734519237529952e+06
1.950000000000000000e+01 5.288298522121770421e+37 1.009728519568589982e+06
1.975000000000000000e+01 5.266472663742810250e+37 1.009722973406770034e+06
2.000000000000000000e+01 5.245647011693680183e+37 1.009717713527729968e+06
2.050000000000000000e+01 5.170488431455430315e+37 1.009700733926060027e+06
2.075000000000000000e+01 5.144159917950740101e+37 1.009693510182320024e+06
2.125000000000000000e+01 5.100834357238330298e+37 1.009683479566429975e+06
2.175000000000000000e+01 5.044523650408970367e+37 1.009670540497440030e+06
2.250000000000000000e+01 4.963231908283330144e+37 1.009652194614200038e+06
2.375000000000000000e+01 4.857454107488630396e+37 1.009627861393869971e+06
2.450000000000000000e+01 4.780253239033510205e+37 1.009607455379500054e+06
2.550000000000000000e+01 4.714299466316050215e+37 1.009589718211299973e+06
2.625000000000000000e+01 4.655876842234009748e+37 1.009574008132089977e+06
2.700000000000000000e+01 4.603761481232539936e+37 1.009560015463490039e+06
2.750000000000000000e+01 4.557098401628700201e+37 1.009547518492850009e+06
2.825000000000000000e+01 4.515255314096630344e+37 1.009536328856699984e+06
2.875000000000000000e+01 4.477555491629599764e+37 1.009526264359000023e+06
2.925000000000000000e+01 4.443395338789850236e+37 1.009517164998629945e+06
2.950000000000000000e+01 4.412221652087350196e+37 1.009508879846440046e+06
3.000000000000000000e+01 4.383549446747799634e+37 1.009501279922279995e+06
3.050000000000000000e+01 4.356983430231919935e+37 1.009494255988560035e+06
3.075000000000000000e+01 4.332218576931050295e+37 1.009487722653390025e+06
3.100000000000000000e+01 4.308781431367930274e+37 1.009481564824620029e+06
3.150000000000000000e+01 4.285819183381120036e+37 1.009475587988659972e+06
3.175000000000000000e+01 4.260046222429349730e+37 1.009469090961129987e+06
3.225000000000000000e+01 4.225665635093389816e+37 1.009460831494610058e+06
3.250000000000000000e+01 4.079945372910539817e+37 1.010278576510200044e+06
3.275000000000000000e+01 4.054761261567650020e+37 1.010312145067760022e+06
3.300000000000000000e+01 4.028210668993909939e+37 1.010347313424809952e+06
3.325000000000000000e+01 4.008989724394479963e+37 1.010370833494880004e+06
3.375000000000000000e+01 4.000696945106630203e+37 1.010376393031219952e+06
3.400000000000000000e+01 3.992359569005619811e+37 1.010374086022499949e+06
3.450000000000000000e+01 3.973704380363189850e+37 1.010363522228210000e+06
3.475000000000000000e+01 3.961443959054419943e+37 1.010353266139740008e+06
3.550000000000000000e+01 3.932970414417749786e+37 1.010335126009949949e+06
3.625000000000000000e+01 3.884919041430740203e+37 1.010305424198240042e+06
3.750000000000000000e+01 3.814538308893959959e+37 1.010261937333579990e+06
3.850000000000000000e+01 3.763780806031040095e+37 1.010225473728799960e+06
3.950000000000000000e+01 3.718649099893080160e+37 1.010193896336960024e+06
4.050000000000000000e+01 3.677585694326429915e+37 1.010166081574629992e+06
4.125000000000000000e+01 3.640179563206489892e+37 1.010141396273580031e+06
4.200000000000000000e+01 3.606145684511999897e+37 1.010119390094890026e+06
4.275000000000000000e+01 3.575084581851540161e+37 1.010099647212379961e+06
4.325000000000000000e+01 3.546564306235460159e+37 1.010081791658850037e+06
4.375000000000000000e+01 3.520122082697539935e+37 1.010065468998290016e+06
4.425000000000000000e+01 3.495322998503760181e+37 1.010050365835470031e+06
4.475000000000000000e+01 3.471886962713120022e+37 1.010036257050679997e+06
4.525000000000000000e+01 3.448955018576209845e+37 1.010022693260609987e+06
4.575000000000000000e+01 3.425883402465490034e+37 1.010009283751070034e+06
4.625000000000000000e+01 3.399775659843850085e+37 1.009994687835730030e+06
4.675000000000000000e+01 3.373350440492350104e+37 1.009979814559770050e+06
4.725000000000000000e+01 3.349110538506890045e+37 1.009965890710689942e+06
4.775000000000000000e+01 3.325232397577409789e+37 1.009952382099970011e+06
4.825000000000000000e+01 3.300730201202769968e+37 1.009938783407720039e+06
4.875000000000000000e+01 3.275902602606919914e+37 1.009925119269939954e+06
4.925000000000000000e+01 3.250948492279109771e+37 1.009911505722939968e+06
4.975000000000000000e+01 3.222908313505290040e+37 1.009896754099049955e+06
5.050000000000000000e+01 3.182310247430899787e+37 1.009876706540980027e+06
5.125000000000000000e+01 3.147456546832049891e+37 1.009857887465739972e+06
5.250000000000000000e+01 3.090785451039779934e+37 1.009830067037179950e+06
5.325000000000000000e+01 3.050692204975970005e+37 1.009806989232589956e+06
5.425000000000000000e+01 3.016380626613680216e+37 1.009787129608990042e+06
5.500000000000000000e+01 2.985960279292559901e+37 1.009769636256690021e+06
5.575000000000000000e+01 2.958358610508419813e+37 1.009753904879549984e+06
5.625000000000000000e+01 2.933011608752970212e+37 1.009739555222050054e+06
5.700000000000000000e+01 2.909307642830580095e+37 1.009726237006169977e+06
5.750000000000000000e+01 2.886785122614859944e+37 1.009713669750869973e+06
5.825000000000000000e+01 2.864756399195279799e+37 1.009701500393270049e+06
5.875000000000000000e+01 2.842140166748860115e+37 1.009689202602850040e+06
5.950000000000000000e+01 2.814956000490359833e+37 1.009675049937159987e+06
6.050000000000000000e+01 2.768693227539460013e+37 1.009652700005179970e+06
6.175000000000000000e+01 2.727737065611480092e+37 1.009630340746370028e+06
6.275000000000000000e+01 2.695814613028239892e+37 1.009611427481140010e+06
6.375000000000000000e+01 2.667727718140430182e+37 1.009594884149390040e+06
6.450000000000000000e+01 2.642341606927450053e+37 1.009580101106310030e+06
6.525000000000000000e+01 2.619049494563060043e+37 1.009566676769749960e+06
6.600000000000000000e+01 2.597331489289760203e+37 1.009554282846509945e+06
6.675000000000000000e+01 2.576726242020020082e+37 1.009542634534509969e+06
6.750000000000000000e+01 2.556798167542070071e+37 1.009531474106429960e+06
6.825000000000000000e+01 2.536652711488669821e+37 1.009520370929670054e+06
6.875000000000000000e+01 2.514963380511189914e+37 1.009508683177210041e+06
6.975000000000000000e+01 2.482522653823900013e+37 1.009492590699149994e+06
7.075000000000000000e+01 2.455558918540729838e+37 1.009477498233680031e+06
7.250000000000000000e+01 2.402021436114119814e+37 1.009451749848130043e+06
7.400000000000000000e+01 2.367717120459009882e+37 1.009430757087619975e+06
7.525000000000000000e+01 2.338011278221869850e+37 1.009412666234059958e+06
7.650000000000000000e+01 2.311185385419440093e+37 1.009396615603560000e+06
7.750000000000000000e+01 2.286909168853300134e+37 1.009382241433070041e+06
7.850000000000000000e+01 2.264772581387600221e+37 1.009369247783740051e+06
7.925000000000000000e+01 2.244356064492169856e+37 1.009357363674649969e+06
8.025000000000000000e+01 2.225206270563579968e+37 1.009346322007940034e+06
8.100000000000000000e+01 2.206888010678310050e+37 1.009335869819430052e+06
8.175000000000000000e+01 2.188950085168430232e+37 1.009325756412860006e+06
8.275000000000000000e+01 2.170692433560400075e+37 1.009315635144899949e+06
8.350000000000000000e+01 2.152219196725220098e+37 1.009305449215380009e+06
8.425000000000000000e+01 2.131540507529480227e+37 1.009294436713850009e+06
8.550000000000000000e+01 2.101031707591870006e+37 1.009279461824040045e+06
8.675000000000000000e+01 2.071769340990119897e+37 1.009263839622689993e+06
8.825000000000000000e+01 2.039182262399100113e+37 1.009246524815530051e+06
8.950000000000000000e+01 2.014431832157329887e+37 1.009231680427790037e+06
9.075000000000000000e+01 1.992391064727460096e+37 1.009218510515309987e+06
9.200000000000000000e+01 1.972214742204270033e+37 1.009206576751959976e+06
9.300000000000000000e+01 1.953494160696640024e+37 1.009195602979609976e+06
9.400000000000000000e+01 1.935851902345000052e+37 1.009185352085680002e+06
9.475000000000000000e+01 1.918915442926720007e+37 1.009175603731330018e+06
9.575000000000000000e+01 1.902174311492980010e+37 1.009166090283020050e+06
9.675000000000000000e+01 1.884723740497640068e+37 1.009156382719540037e+06
9.775000000000000000e+01 1.867413490807070007e+37 1.009146690624370007e+06
9.875000000000000000e+01 1.850208429158030106e+37 1.009137091249160003e+06
9.950000000000000000e+01 1.832779765628709935e+37 1.009127492060879944e+06
1.005000000000000000e+02 1.814035390250530107e+37 1.009117422817809973e+06
1.017500000000000000e+02 1.789660510738310071e+37 1.009105110596089973e+06
1.037500000000000000e+02 1.750604693180710045e+37 1.009086318729129969e+06
1.052500000000000000e+02 1.724844949172110001e+37 1.009070729060749989e+06
1.070000000000000000e+02 1.702388336567319935e+37 1.009057070775220054e+06
1.082500000000000000e+02 1.682094226208169997e+37 1.009044789391180035e+06
1.097500000000000000e+02 1.663581583875060103e+37 1.009033609701939975e+06
1.110000000000000000e+02 1.646530059893709952e+37 1.009023323967769975e+06
1.120000000000000000e+02 1.630595116524319932e+37 1.009013733771729982e+06
1.132500000000000000e+02 1.615439385700259917e+37 1.009004650805740035e+06
1.142500000000000000e+02 1.600556479927620034e+37 1.008995819656120031e+06
