# time luminosity radius
-2.103915659931953996e+01 4.621798132501869691e+35 1.008318735795940040e+06
-1.980189178092405200e+01 4.712247208132759843e+35 1.008319650276020053e+06
-1.836432821629568934e+01 4.833919479138669959e+35 1.008320857944290037e+06
-1.697625638323370367e+01 4.970256894873280368e+35 1.008322351374519989e+06
-1.558368067338597029e+01 5.131082282147859782e+35 1.008324433089819970e+06
-1.417424314300296828e+01 5.328985802570339957e+35 1.008327509547549998e+06
-1.275063512090127915e+01 5.586425436106660078e+35 1.008332272441099980e+06
-1.172926010529045016e+01 5.818885136673089662e+35 1.008337181227199966e+06
-1.102810529927955940e+01 6.011239767087169826e+35 1.008341640368780005e+06
-1.052485663880361244e+01 6.172004692205829998e+35 1.008345645643180003e+06
-1.013990313198883086e+01 6.312042480064170346e+35 1.008349335084290011e+06
-9.814405707991681993e+00 6.445663203877319971e+35 1.008353013809269993e+06
-9.430248864169698209e+00 6.631528842133570032e+35 1.008358353696450009e+06
-9.283309981925413013e+00 6.708037468295870252e+35 1.008360579837159952e+06
-9.144846212060656399e+00 6.784804833385090073e+35 1.008362860089650028e+06
-8.981787046126555651e+00 6.883259219973120593e+35 1.008365846224969951e+06
-8.958609108987729996e+00 6.897393713927280316e+35 1.008366279372390010e+06
-8.912485014123376459e+00 6.926522315585180273e+35 1.008367174642510014e+06
-8.820698065333999693e+00 6.986960082537699897e+35 1.008369092128020013e+06
-8.805020935134962201e+00 6.997384505426220449e+35 1.008369424151399988e+06
-8.773823446070309728e+00 7.018636949413410177e+35 1.008370104398919968e+06
-8.711740442842710763e+00 7.062354112504759457e+35 1.008371534584240057e+06
-8.677473493095021695e+00 7.087409431367829519e+35 1.008372348524839967e+06
-8.651777808961924165e+00 7.106108882581659898e+35 1.008372970385269960e+06
-8.625268802570644766e+00 7.126077823004780348e+35 1.008373622629399993e+06
-8.588577294431161135e+00 7.153406313505140549e+35 1.008374548168609967e+06
-8.515561193227767944e+00 7.211639870059149878e+35 1.008376508926789975e+06
-8.382610168715473264e+00 7.328059346004669962e+35 1.008380591569849988e+06
-8.286391579837072641e+00 7.418617639662519549e+35 1.008383870294749970e+06
-8.200827261083759367e+00 7.504406797588400722e+35 1.008387148655629950e+06
-8.131972937844693661e+00 7.578982739338419878e+35 1.008390055683130049e+06
-8.073075231746770442e+00 7.644980991908560602e+35 1.008392820725749945e+06
-8.034922891994938254e+00 7.689599861952329285e+35 1.008394736761679989e+06
-8.005780637846328318e+00 7.724346995583220141e+35 1.008396294520759955e+06
-7.983176758338231593e+00 7.753918466667040585e+35 1.008397562168280012e+06
-7.964104484650306404e+00 7.777391030511199317e+35 1.008398681499390048e+06
-7.946683244546875358e+00 7.797843164946150069e+35 1.008399748672049958e+06
-7.928252801648341119e+00 7.821684767856329810e+35 1.008400937742869952e+06
-7.901674080931115896e+00 7.857674997092619685e+35 1.008402799124559970e+06
-7.877200265647843480e+00 7.895181989473289984e+35 1.008404659473850043e+06
-7.854385826911311597e+00 7.921119385177289809e+35 1.008406517211270053e+06
-7.839977523195557296e+00 7.943221870874380209e+35 1.008407763967690058e+06
-7.817391135555226356e+00 7.975597862281539751e+35 1.008409950170370052e+06
-7.797248024551663548e+00 8.005819377496270128e+35 1.008412109701970010e+06
-7.778172596357762814e+00 8.033665635557659547e+35 1.008414490958150011e+06
-7.759877594595309347e+00 8.064547815464609379e+35 1.008417205754389986e+06
-7.742032201553229243e+00 8.100491579481320040e+35 1.008420164650939987e+06
-7.725675714784301817e+00 8.121375956349889293e+35 1.008423116214690031e+06
-7.710305810382124037e+00 8.139406511986969574e+35 1.008426048221930047e+06
-7.696826113504357636e+00 8.162652221725340127e+35 1.008428726545989979e+06
-7.689756811654660851e+00 8.177564093386700551e+35 1.008430180021550041e+06
-7.678892984229605645e+00 8.192516568092010132e+35 1.008432431721449946e+06
