# time luminosity u_luminosity radius u_radius
-2.072478966228663921e+01 4.694658487799518712e+35 1.069935315919921354e+34 1.008206023127368651e+06 5.208524918733720455e+01
-1.960973814435419627e+01 4.782828310583740509e+35 1.200346879823319767e+34 1.008212903277546400e+06 5.851153067387423334e+01
-1.863556271133711562e+01 4.860492300236562740e+35 1.247536115228653531e+34 1.008214205562320421e+06 5.858329124518112252e+01
-1.808861215526121669e+01 4.908730917740723152e+35 1.269462920746678437e+34 1.008215001403587172e+06 5.855291511388082881e+01
-1.766087765558040701e+01 4.948170618080198814e+35 1.282688609465864216e+34 1.008215649051031214e+06 5.851340619320606606e+01
-1.715905828360700980e+01 4.996540074326109761e+35 1.296189314888682348e+34 1.008216449379235622e+06 5.844936422901827910e+01
-1.658513343372032978e+01 5.055844003596965049e+35 1.329487970527267534e+34 1.008217449187011458e+06 5.835879617053512192e+01
-1.593811300600646064e+01 5.130086218419209360e+35 1.342554044988971216e+34 1.008218762990635936e+06 5.827586922207024145e+01
-1.521790104577667080e+01 5.221425610269772743e+35 1.331546244364192617e+34 1.008220451604441623e+06 5.823727265511834617e+01
-1.442742796920356341e+01 5.331886065853484818e+35 1.318914578053183078e+34 1.008222567341377842e+06 5.815264039757975212e+01
-1.357171943807043135e+01 5.469655610493252128e+35 1.337236176013340579e+34 1.008225321111310506e+06 5.797215686773817112e+01
-1.266055539096123539e+01 5.633035145478536507e+35 1.342286254302416738e+34 1.008233417468085070e+06 5.695072408930266050e+01
-1.171452360038529150e+01 5.833666863746454910e+35 1.404851441444362045e+34 1.008240128581174999e+06 5.997359730216236784e+01
-1.076757525757420808e+01 6.092567988118779038e+35 1.527553170415928583e+34 1.008246662177729886e+06 6.026371912531311636e+01
-1.007761722611030564e+01 6.332524623043233690e+35 1.650693943758857846e+34 1.008253121943024336e+06 6.039929904734855626e+01
-9.569723180029541254e+00 6.546930907543012020e+35 1.748129996742812636e+34 1.008264679836253752e+06 5.863872929683407165e+01
