# time luminosity u_luminosity radius u_radius
-2.001594412036320136e+01 1.264846936842512214e+36 3.825232889127972962e+34 6.760219254496011417e+05 4.695356988895722316e+05
-1.981712778983819589e+01 1.266633474389875389e+36 4.371898168300935717e+34 6.664723853753417498e+05 4.728753178575662896e+05
-1.942148329209157964e+01 1.270583825012199735e+36 4.991803182404662644e+34 6.664695487148890970e+05 4.728729828643565415e+05
-1.866652236722620728e+01 1.289980702339650957e+36 4.348491852523782736e+34 6.664818258288862417e+05 4.728813078832366155e+05
-1.761571114846992714e+01 1.302628660406385839e+36 4.972161375141660946e+34 6.664767329814940458e+05 4.728768685602011974e+05
-1.635753210118127754e+01 1.347086515616441768e+36 2.822886556801870214e+34 6.664698571143206209e+05 4.728709926375774085e+05
-1.493423120018087502e+01 1.390705005169202109e+36 2.762421942234679362e+34 6.664687575057136128e+05 4.728691703494825633e+05
-1.334455862193317444e+01 1.434243593046099207e+36 3.492765846462881551e+34 6.664744700884199701e+05 4.728721494920902187e+05
-1.156841014930250822e+01 1.507350559612248166e+36 2.987078699490198076e+34 6.585632675991697470e+05 4.693897661868797150e+05
-9.572220433203256107e+00 1.605854776326485782e+36 3.256173147879469014e+34 6.378917136559170904e+05 4.815002483482228126e+05
-7.299068476608226774e+00 1.772391443088232086e+36 3.326442869691122273e+34 6.378924922106669983e+05 4.814990996606030385e+05
-7.077015343733364716e+00 1.790030428509291983e+36 4.155095460257421187e+34 6.378978252942655236e+05 4.815030292379790917e+05
-6.635129609312571120e+00 1.840452085166147216e+36 3.382645226778185465e+34 6.378965808522222796e+05 4.815017326526893303e+05
-5.755776997813882190e+00 1.936337730761600952e+36 6.248895016951109522e+34 6.379118366079116240e+05 4.815127848889000597e+05
-5.602533369881712133e+00 1.955476233334652661e+36 6.625740658565162450e+34 6.379175856840503402e+05 4.815170868553929613e+05
-5.297578550298567279e+00 1.997955853297849226e+36 6.731302488682606877e+34 6.379209701943992404e+05 4.815194538042711793e+05
-4.690718459325580625e+00 2.078441518703740419e+36 9.528600269553584992e+34 6.379510948845884996e+05 4.815421433666063822e+05
-3.561361941816358012e+00 2.386663181546498620e+36 7.950036379904422555e+34 6.379469337706523947e+05 4.815380758701274754e+05
-2.781576976063661277e+00 2.724108929830272795e+36 8.148294935204672952e+34 6.379549260400024941e+05 4.815436202540585655e+05
-2.225198061909395619e+00 3.143611708398210013e+36 8.635044381796792476e+34 6.379585092270455789e+05 4.815459467501827748e+05
-1.815834950448333984e+00 3.638982776903530467e+36 1.070351946133449716e+35 6.379642928449517349e+05 4.815500779211321496e+05
-1.505258633855191874e+00 4.260130201514866747e+36 1.215293619465565099e+35 6.379714403960041236e+05 4.815553335218637367e+05
-1.505017072095142794e+00 4.258494622774503332e+36 1.192652550094389867e+35 6.379714473513434641e+05 4.815553386827698560e+05
-1.504922976331727114e+00 4.258731815123975402e+36 1.192724383277097349e+35 6.379714500606624642e+05 4.815553406931020436e+05
-1.504735725764476229e+00 4.259203667487888241e+36 1.192866456063288394e+35 6.379714554522081744e+05 4.815553446936631808e+05
-1.504363097135865246e+00 4.260142734395859053e+36 1.193150766491748010e+35 6.379714661813832354e+05 4.815553526547799120e+05
-1.503621566163928946e+00 4.262011613331533138e+36 1.193721516974853386e+35 6.379714875324424356e+05 4.815553684974021744e+05
-1.502698643434996484e+00 4.264337960232100524e+36 1.194441480808824984e+35 6.379715141063526971e+05 4.815553882154136081e+05
-1.501715549136861227e+00 4.266816262706271894e+36 1.195219425583235475e+35 6.379715424127958249e+05 4.815554092189755174e+05
-1.500680268085488933e+00 4.269426393588471501e+36 1.196050595809041722e+35 6.379715722218633164e+05 4.815554313374943449e+05
-1.499604547454509884e+00 4.272138761610351108e+36 1.196927066143240859e+35 6.379716031953159254e+05 4.815554543199946056e+05
-1.498504185547062661e+00 4.274913560895342046e+36 1.197837110128354153e+35 6.379716348782703280e+05 4.815554778289495734e+05
-1.497398812176470528e+00 4.277701300288171210e+36 1.198764968121802926e+35 6.379716667055208236e+05 4.815555014449733426e+05
-1.496312160408706404e+00 4.280442116104028145e+36 1.199690386906673895e+35 6.379716979937161086e+05 4.815555246610147296e+05
-1.495270546203755657e+00 4.283069603556356052e+36 1.200589730966486168e+35 6.379717279851351632e+05 4.815555469148401171e+05
-1.494301692571752938e+00 4.285520378992691313e+36 1.201372659300040627e+35 6.379717559949506540e+05 4.815555677013365203e+05
-1.493431764834895148e+00 4.287744248101162922e+36 1.201858943707575190e+35 6.379717815427370369e+05 4.815555866713274736e+05
-1.492681851148518035e+00 4.289661449100249862e+36 1.202285015571293187e+35 6.379718035659852903e+05 4.815556030242441921e+05
-1.492063949632211006e+00 4.291241237604396749e+36 1.202640800956316991e+35 6.379718217123387149e+05 4.815556164984510397e+05
-1.491576606507805991e+00 4.292487270092840358e+36 1.202924336298337632e+35 6.379718360244907672e+05 4.815556271256493637e+05
-1.491204656564150355e+00 4.293438277633518889e+36 1.203142373605933380e+35 6.379718469478087500e+05 4.815556352365382481e+05
-1.490918710516780266e+00 4.294169377709243666e+36 1.203310840889128795e+35 6.379718553453896893e+05 4.815556414719916647e+05
-1.490693645606370410e+00 4.294744800287479775e+36 1.203443882598414550e+35 6.379718619550310541e+05 4.815556463798469049e+05
-1.490504566656454699e+00 4.295228197814618789e+36 1.203555903404223094e+35 6.379718675078470260e+05 4.815556505029778345e+05
-1.490332398030659533e+00 4.295668347970868933e+36 1.203658113373405831e+35 6.379718725640455959e+05 4.815556542573554907e+05
-1.490163315886093187e+00 4.296100601041243984e+36 1.203758730636301473e+35 6.379718775296009844e+05 4.815556579444281524e+05
-1.490021672143484466e+00 4.296462725065636759e+36 1.203843343595178593e+35 6.379718816893533804e+05 4.815556610331681441e+05
-1.489899102944036713e+00 4.296776089908445301e+36 1.203916763381397167e+35 6.379718852889303816e+05 4.815556637059609639e+05
-1.489789743091023411e+00 4.297055692076576663e+36 1.203982453021885461e+35 6.379718885005788179e+05 4.815556660907055484e+05
-1.489685478554747533e+00 4.297322273103413283e+36 1.204045231479600192e+35 6.379718915625895606e+05 4.815556683643395663e+05
-1.489585979199546273e+00 4.297576678104424188e+36 1.204105289203432571e+35 6.379718944846580271e+05 4.815556705340622575e+05
-1.489489483643410495e+00 4.297823409718756252e+36 1.204163671609603451e+35 6.379718973185116192e+05 4.815556726382828783e+05
-1.489394808080760413e+00 4.298065494106266433e+36 1.204221083145386029e+35 6.379719000989159103e+05 4.815556747028158279e+05
-1.489301043991872575e+00 4.298305253669149798e+36 1.204278066441877649e+35 6.379719028525527101e+05 4.815556767474730150e+05
-1.489207986121982685e+00 4.298543213140688497e+36 1.204334743214516399e+35 6.379719055854494218e+05 4.815556787767299684e+05
-1.489114064966997830e+00 4.298783384773716397e+36 1.204392061968426230e+35 6.379719083436987130e+05 4.815556808248121524e+05
-1.489020306218662881e+00 4.299023146625527845e+36 1.204449403702117167e+35 6.379719110971782357e+05 4.815556828693528078e+05
-1.488923017615888966e+00 4.299271938317848206e+36 1.204509015975870718e+35 6.379719139543222263e+05 4.815556849908668664e+05
-1.488827040810065228e+00 4.299517381405054451e+36 1.204567954225649824e+35 6.379719167729411274e+05 4.815556870837754104e+05
-1.488727177558757830e+00 4.299772766135811040e+36 1.204629392486611518e+35 6.379719197056961711e+05 4.815556892614333192e+05
-1.488621985054123797e+00 4.300041783720110024e+36 1.204694241434754112e+35 6.379719227949592751e+05 4.815556915553028812e+05
-1.488513659709497006e+00 4.300318817541548908e+36 1.204761162867395652e+35 6.379719259762266884e+05 4.815556939174886211e+05
